         5843070 function calls (5703559 primitive calls) in 37.199 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      495    0.001    0.000    0.001    0.000 :0(AddDescriptor)
       51    0.000    0.000    0.000    0.000 :0(AddEnumDescriptor)
       93    0.000    0.000    0.000    0.000 :0(AddFileDescriptor)
       93    0.014    0.000    0.014    0.000 :0(AddSerializedFile)
      392    0.005    0.000    0.005    0.000 :0(AppendFloat32ArrayToTensorProto)
      392    0.005    0.000    0.005    0.000 :0(AppendInt32ArrayToTensorProto)
        1    0.000    0.000    0.000    0.000 :0(BufferedInputStream_swigregister)
     9780    0.084    0.000    0.084    0.000 :0(ByteSize)
        1    0.000    0.000    0.000    0.000 :0(CheckpointReader_swigregister)
    11533    0.065    0.000    0.065    0.000 :0(CopyFrom)
        1    0.000    0.000    0.000    0.000 :0(EventsWriter_swigregister)
      166    3.018    0.018    3.018    0.018 :0(ExtendSession)
        2    0.000    0.000    0.000    0.000 :0(FileExists)
        1    0.000    0.000    0.000    0.000 :0(FileStatistics_swigregister)
       51    0.000    0.000    0.000    0.000 :0(FindEnumTypeByName)
     1934    0.005    0.000    0.005    0.000 :0(FindFieldByName)
      495    0.001    0.000    0.001    0.000 :0(FindMessageTypeByName)
       26    0.000    0.000    0.000    0.000 :0(FindOneofByName)
       60    0.001    0.000    0.003    0.000 :0(Flatten)
        1    0.000    0.000    0.000    0.000 :0(GCluster_swigregister)
        1    0.000    0.000    0.000    0.000 :0(GItem_swigregister)
        1    0.000    0.000    0.000    0.000 :0(GRAPH_DEF_VERSION_MIN_CONSUMER_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(GRAPH_DEF_VERSION_MIN_PRODUCER_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(GRAPH_DEF_VERSION_swigconstant)
     4890    0.034    0.000    0.090    0.000 :0(GetOperationInputs)
    20356    0.099    0.000    0.099    0.000 :0(HasField)
        1    0.000    0.000    0.000    0.000 :0(InitializePyTrampoline)
      110    0.000    0.000    0.001    0.000 :0(IsSequence)
        1    0.000    0.000    0.000    0.000 :0(MergeFrom)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
     9554    0.110    0.000    0.110    0.000 :0(ParseFromString)
        1    0.000    0.000    0.000    0.000 :0(PyExceptionRegistry_Init)
        1    0.000    0.000    0.000    0.000 :0(PyExceptionRegistry_swigregister)
        1    0.000    0.000    0.000    0.000 :0(PyRecordReader_swigregister)
        1    0.000    0.000    0.000    0.000 :0(PyRecordWriter_swigregister)
        1    0.000    0.000    0.000    0.000 :0(RecordWriterOptions_swigregister)
        6    0.000    0.000    0.000    0.000 :0(RegisterType)
        1    0.000    0.000    0.000    0.000 :0(SHARED_PTR_DISOWN_swigconstant)
      138    0.000    0.000    0.000    0.000 :0(S_ISDIR)
       79    0.000    0.000    0.000    0.000 :0(S_ISLNK)
        1    0.000    0.000    0.000    0.000 :0(S_ISREG)
    10578    0.088    0.000    0.088    0.000 :0(SerializeToString)
      734    0.016    0.000    0.016    0.000 :0(SetAttr)
        3    0.000    0.000    0.000    0.000 :0(SetInParent)
        1    0.000    0.000    0.000    0.000 :0(SetRequireShapeInferenceFns)
        1    0.000    0.000    0.000    0.000 :0(StatSummarizer_swigregister)
        1    0.000    0.000    0.000    0.000 :0(StatusGroup_swigregister)
        1    0.000    0.000    0.000    0.000 :0(Status_swigregister)
        1    0.000    0.000    0.000    0.000 :0(TENSOR_HANDLE_KEY_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TFE_DEVICE_PLACEMENT_EXPLICIT_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TFE_DEVICE_PLACEMENT_SILENT_FOR_INT32_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TFE_DEVICE_PLACEMENT_SILENT_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TFE_DEVICE_PLACEMENT_WARN_swigconstant)
        2    0.000    0.000    0.000    0.000 :0(TFE_MonitoringNewBoolGauge1)
        1    0.000    0.000    0.000    0.000 :0(TFE_Py_InitEagerTensor)
     3541    0.012    0.000    0.012    0.000 :0(TFE_Py_RecordGradient)
        1    0.000    0.000    0.000    0.000 :0(TFE_Py_RegisterExceptionClass)
        1    0.000    0.000    0.000    0.000 :0(TFE_Py_RegisterFallbackExceptionClass)
        1    0.000    0.000    0.000    0.000 :0(TFE_Py_RegisterGradientFunction)
        1    0.000    0.000    0.000    0.000 :0(TFE_Py_RegisterResourceVariableType)
        1    0.000    0.000    0.000    0.000 :0(TFE_Py_RegisterVSpace)
      283    0.001    0.000    0.001    0.000 :0(TFE_Py_TapeSetRestartOnThread)
      283    0.001    0.000    0.001    0.000 :0(TFE_Py_TapeSetStopOnThread)
     4835    0.011    0.000    0.011    0.000 :0(TFE_Py_UID)
        1    0.000    0.000    0.000    0.000 :0(TF_ABORTED_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ALREADY_EXISTS_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_BOOL_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_FLOAT_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_FUNC_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_INT_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_PLACEHOLDER_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_SHAPE_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_STRING_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_TENSOR_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_ATTR_TYPE_swigconstant)
      168    0.001    0.000    0.001    0.000 :0(TF_AddControlInput)
     5559    0.052    0.000    0.052    0.000 :0(TF_AddInput)
        1    0.000    0.000    0.000    0.000 :0(TF_AttrMetadata_swigregister)
        1    0.000    0.000    0.000    0.000 :0(TF_BFLOAT16_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_BOOL_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_Buffer_swigregister)
        1    0.000    0.000    0.000    0.000 :0(TF_CANCELLED_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_COMPLEX128_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_COMPLEX64_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_COMPLEX_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_DATA_LOSS_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_DEADLINE_EXCEEDED_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_DOUBLE_swigconstant)
    10973    0.025    0.000    0.025    0.000 :0(TF_DeleteBuffer)
        1    0.000    0.000    0.000    0.000 :0(TF_DeleteSessionOptions)
        1    0.000    0.000    0.000    0.000 :0(TF_FAILED_PRECONDITION_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_FLOAT_swigconstant)
     4890    0.211    0.000    0.211    0.000 :0(TF_FinishOperation)
     9505    0.046    0.000    0.046    0.000 :0(TF_GetBuffer)
     1293    0.019    0.000    0.019    0.000 :0(TF_GraphGetOpDef)
     1183    0.007    0.000    0.007    0.000 :0(TF_GraphGetTensorShapeHelper)
      226    0.003    0.000    0.003    0.000 :0(TF_GraphSetTensorShape_wrapper)
        1    0.000    0.000    0.000    0.000 :0(TF_HALF_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_INT16_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_INT32_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_INT64_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_INT8_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_INTERNAL_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_INVALID_ARGUMENT_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_Input_swigregister)
        1    0.000    0.000    0.000    0.000 :0(TF_ListPhysicalDevices)
        1    0.000    0.000    0.000    0.000 :0(TF_NOT_FOUND_swigconstant)
    10239    0.061    0.000    0.178    0.000 :0(TF_NewBuffer)
      734    0.005    0.000    0.013    0.000 :0(TF_NewBufferFromString)
        1    0.011    0.011    0.011    0.011 :0(TF_NewGraph)
     4890    0.053    0.000    0.053    0.000 :0(TF_NewOperation)
        1    0.005    0.005    0.005    0.005 :0(TF_NewSessionRef)
        1    0.000    0.000    0.000    0.000 :0(TF_OK_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_OUT_OF_RANGE_swigconstant)
     1070    0.003    0.000    0.003    0.000 :0(TF_OperationDevice)
     7991    0.056    0.000    0.056    0.000 :0(TF_OperationGetAttrValueProto)
     1067    0.002    0.000    0.002    0.000 :0(TF_OperationGetControlInputs_wrapper)
    22250    0.047    0.000    0.047    0.000 :0(TF_OperationName)
     4890    0.019    0.000    0.019    0.000 :0(TF_OperationNumOutputs)
    10000    0.020    0.000    0.020    0.000 :0(TF_OperationOpType)
     4834    0.012    0.000    0.012    0.000 :0(TF_OperationOutputType)
      955    0.030    0.000    0.030    0.000 :0(TF_OperationToNodeDef)
     9159    0.020    0.000    0.020    0.000 :0(TF_Output_index_set)
     9159    0.024    0.000    0.024    0.000 :0(TF_Output_oper_set)
        1    0.000    0.000    0.000    0.000 :0(TF_Output_swigregister)
        1    0.000    0.000    0.000    0.000 :0(TF_PERMISSION_DENIED_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_QINT16_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_QINT32_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_QINT8_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_QUINT16_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_QUINT8_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_RESOURCE_EXHAUSTED_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_RESOURCE_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_STRING_swigconstant)
      166    6.812    0.041    6.812    0.041 :0(TF_SessionRun_wrapper)
     9843    0.144    0.000    0.144    0.000 :0(TF_SetAttrValueProto)
        1    0.000    0.000    0.000    0.000 :0(TF_UINT16_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_UINT32_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_UINT64_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_UINT8_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_UNAUTHENTICATED_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_UNAVAILABLE_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_UNIMPLEMENTED_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_UNKNOWN_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_VARIANT_swigconstant)
        1    0.000    0.000    0.000    0.000 :0(TF_bfloat16_type)
        1    0.000    0.000    0.000    0.000 :0(WEXITSTATUS)
        1    0.000    0.000    0.000    0.000 :0(WIFEXITED)
        1    0.000    0.000    0.000    0.000 :0(WIFSIGNALED)
     7257    0.023    0.000    0.023    0.000 :0(WhichOneof)
        1    0.000    0.000    0.000    0.000 :0(WritableFile_swigregister)
        1    0.000    0.000    0.000    0.000 :0(ZlibCompressionOptions_swigregister)
     2819    0.006    0.000    0.006    0.000 :0(_CheckCalledFromGeneratedFile)
        1    0.000    0.000    0.000    0.000 :0(_TF_NewSessionOptions)
        1    0.000    0.000    0.000    0.000 :0(_TF_SetConfig)
        1    0.000    0.000    0.000    0.000 :0(_TF_SetTarget)
3109/3082    0.069    0.000    0.470    0.000 :0(__build_class__)
        1    0.000    0.000    0.000    0.000 :0(__compiler_version___swigconstant)
     1567    0.007    0.000    0.007    0.000 :0(__contains__)
        1    0.000    0.000    0.000    0.000 :0(__cxx11_abi_flag___swigconstant)
        1    0.000    0.000    0.000    0.000 :0(__enter__)
        1    0.000    0.000    0.000    0.000 :0(__exit__)
        1    0.000    0.000    0.000    0.000 :0(__getitem__)
        1    0.000    0.000    0.000    0.000 :0(__git_version___swigconstant)
 1679/259    0.014    0.000    5.683    0.022 :0(__import__)
       11    0.000    0.000    0.000    0.000 :0(__init_subclass__)
        1    0.000    0.000    0.000    0.000 :0(__monolithic_build___swigconstant)
    26687    0.067    0.000    0.067    0.000 :0(__new__)
        5    0.000    0.000    0.000    0.000 :0(__prepare__)
      471    0.001    0.000    0.001    0.000 :0(__reduce_ex__)
       44    0.000    0.000    0.000    0.000 :0(__setstate__)
        1    0.000    0.000    0.000    0.000 :0(__version___swigconstant)
